City_Name,country,Latitude,Longitude,Temperature/F,Humidity/%,Cloudiness/%,Wind_Speed/mph
la roda,ES,39.22,-2.15,44.6,93,75,3.36
scarborough,GB,54.28,-0.4,44.01,93,40,10.29
honiara,SB,-9.43,159.95,87.8,70,0,6.93
nata,PA,8.33,-80.52,75.0,43,32,12.33
zelenchukskaya,RU,43.86,41.59,26.06,57,0,5.35
pangkalanbuun,ID,-2.68,111.62,74.41,97,96,0.81
asau,RO,46.43,26.4,24.8,92,77,3.87
kindu,CD,-2.95,25.95,73.31,77,89,1.34
noyabrsk,RU,63.2,75.45,0.16,96,100,12.15
qaqortoq,GL,60.72,-46.03,19.4,67,98,4.7
borogontsy,RU,62.67,131.17,-42.16,96,6,3.22
ketchikan,US,55.34,-131.65,46.4,87,90,19.46
praia,CV,14.92,-23.51,77.0,47,40,16.11
phonhong,LA,18.5,102.42,64.4,100,20,0.89
severo-yeniseyskiy,RU,60.37,93.04,14.18,82,99,17.74
los llanos de aridane,ES,28.66,-17.92,62.6,59,90,5.82
brunswick,US,41.24,-81.84,35.01,80,90,16.11
eyemouth,GB,55.87,-2.09,45.0,86,92,13.87
jiangyou,CN,31.77,104.72,29.5,92,96,1.61
albury,AU,-36.08,146.92,84.0,34,0,3.36
harper,LR,4.38,-7.72,77.58,96,67,1.45
ambovombe,MG,-25.17,46.08,64.89,95,0,4.76
whangarei,NZ,-35.73,174.32,84.99,69,57,8.01
chimbote,PE,-9.09,-78.58,76.12,67,100,7.74
bulls,NZ,-40.17,175.38,84.99,59,57,5.99
riberalta,BO,-10.98,-66.1,79.61,76,52,2.28
oum hadjer,TD,13.3,19.7,58.69,20,0,11.39
pyaozerskiy,RU,65.83,31.17,10.54,88,31,4.03
kabo,CF,7.7,18.63,65.53,15,78,4.61
atar,MR,20.52,-13.05,73.92,21,97,11.3
roald,NO,62.58,6.13,46.0,87,100,24.16
mao,ES,39.89,4.27,55.4,93,100,8.05
tukrah,LY,32.53,20.58,53.62,57,57,13.87
shenjiamen,CN,29.96,122.3,54.61,89,100,19.24
sibolga,ID,1.74,98.78,71.51,95,74,2.95
matay,EG,28.42,30.78,43.03,63,0,5.93
guerrero negro,MX,27.98,-114.06,67.17,56,0,9.08
krasnyy chikoy,RU,50.36,108.75,0.27,84,0,1.39
sinjar,IQ,36.32,41.88,37.29,56,0,14.58
guatire,VE,10.48,-66.54,78.8,93,100,3.36
kudahuvadhoo,MV,2.67,72.89,81.25,79,99,12.73
sawtell,AU,-30.38,153.1,86.0,74,40,19.46
vao,NC,-22.67,167.48,78.15,77,77,15.97
ayr,GB,55.46,-4.63,46.99,81,75,16.11
bhadasar,IN,28.28,74.32,58.3,46,0,5.26
sao jose da coroa grande,BR,-8.9,-35.15,81.55,86,71,18.88
bereda,ES,43.27,-7.54,46.99,100,2,5.82
arman,RU,59.7,150.17,-4.13,95,100,19.55
mecca,SA,21.43,39.83,60.03,27,0,11.18
tagusao,PH,9.19,117.81,78.48,84,60,2.19
goderich,CA,43.75,-81.72,35.01,91,99,3.0
krasnoselkup,RU,65.7,82.47,-5.89,98,96,8.57
vincennes,FR,48.85,2.43,41.0,100,89,2.24
san francisco,US,37.77,-122.42,64.4,87,20,5.82
belmonte,BR,-15.86,-38.88,80.6,83,75,10.29
alexandria,EG,31.22,29.96,51.8,81,40,4.7
erdaojiang,CN,41.78,126.03,10.8,77,0,1.9
pochutla,MX,15.74,-96.47,82.4,73,40,6.93
touros,BR,-5.2,-35.46,82.4,83,75,5.82
antofagasta,CL,-23.65,-70.4,72.0,83,75,4.7
wasilla,US,61.58,-149.44,6.8,84,40,4.7
luau,AO,-10.71,22.22,66.36,96,100,3.74
fairbanks,US,64.84,-147.72,-7.01,75,1,3.36
chino hills,US,33.99,-117.76,72.0,35,1,10.29
bathsheba,BB,13.22,-59.52,77.0,83,40,5.82
kulu,TR,39.1,33.08,29.23,57,0,3.09
ayan,RU,56.45,138.17,-19.62,71,0,12.06
kutulik,RU,53.35,102.78,6.46,85,68,4.76
gunjur,GM,13.2,-16.73,75.2,64,100,10.29
talcahuano,CL,-36.72,-73.12,69.8,60,0,13.87
prado,BR,-17.34,-39.22,79.59,82,100,16.28
orangeburg,US,33.49,-80.86,48.2,75,1,7.81
cururupu,BR,-1.83,-44.87,76.46,95,100,3.09
naryan-mar,RU,67.67,53.09,-8.48,100,100,6.33
paita,PE,-5.09,-81.11,77.23,74,75,17.56
mamallapuram,IN,12.63,80.17,72.0,94,40,4.7
xihe,CN,31.69,113.47,33.64,96,100,12.88
lincoln,US,40.8,-96.67,32.0,92,90,6.93
huilong,CN,31.81,121.66,53.01,94,100,14.81
san pedro de lloc,PE,-7.43,-79.51,75.51,77,92,14.14
ulaanbaatar,MN,47.91,106.88,-14.8,75,0,2.24
sola,VU,-13.88,167.55,89.6,75,57,3.36
fugen,AT,47.35,11.85,34.0,92,20,1.12
kerema,PG,-7.96,145.78,90.52,50,75,3.6
betamcherla,IN,15.47,78.17,68.49,61,71,5.95
moerai,PF,-22.43,-151.33,81.32,71,69,5.3
luang prabang,LA,19.89,102.13,50.0,87,20,1.7
velikiy novgorod,RU,58.52,31.28,29.21,83,30,7.54
manakara,MG,-22.13,48.02,70.9,81,70,3.51
jawhar,SO,2.78,45.5,78.39,71,100,15.5
geraldton,AU,-28.77,114.6,75.2,73,19,12.75
cape canaveral,US,28.41,-80.6,60.8,76,1,3.51
barra patuca,HN,15.8,-84.28,78.4,60,63,12.84
zistersdorf,AT,48.53,16.75,32.0,100,90,3.36
kedrovyy,RU,56.17,91.82,26.6,63,40,11.18
emba,KZ,48.83,58.14,25.99,94,100,19.98
starokostyantyniv,UA,49.76,27.2,32.07,80,99,9.19
karratha,AU,-20.74,116.85,85.17,74,0,4.34
corning,US,42.14,-77.05,35.6,100,90,4.7
kerikeri,NZ,-35.23,173.95,84.99,56,52,11.01
puerto escondido,MX,15.85,-97.07,82.4,74,20,2.21
llanes,ES,43.42,-4.75,46.99,10,11,4.52
broken hill,AU,-31.95,141.43,82.4,26,0,12.75
colares,PT,38.8,-9.45,53.01,93,20,3.36
brae,GB,60.4,-1.35,46.4,87,100,18.34
aitape,PG,-3.14,142.35,82.74,81,31,9.42
moron,AR,-34.65,-58.62,81.0,78,15,14.99
cairns,AU,-16.92,145.77,87.8,70,40,9.17
maksatikha,RU,57.8,35.88,27.0,84,100,11.92
ryotsu,JP,38.08,138.43,39.2,58,100,1.12
mae hong son,TH,19.3,97.97,46.4,93,20,1.83
kodinsk,RU,58.69,99.18,21.29,80,92,14.12
